Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2020","2020","kcal/cap/d","2801","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2021","2021","kcal/cap/d","2818","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2010","2010","million Kcal","307123836.93","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2011","2011","million Kcal","311652989.87","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2012","2012","million Kcal","318107726.73","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2013","2013","million Kcal","320087548.72","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2014","2014","million Kcal","321341558.53","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2015","2015","million Kcal","323606549.27","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2016","2016","million Kcal","327626082.99","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2017","2017","million Kcal","331282411.15","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2018","2018","million Kcal","332541559.68","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2019","2019","million Kcal","339460503.92","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2020","2020","million Kcal","343467439.01","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2903","Vegetal Products","2021","2021","million Kcal","346629073.2","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2010","2010","g/cap/d","38.65","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2011","2011","g/cap/d","37.94","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2012","2012","g/cap/d","38.73","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2013","2013","g/cap/d","38.58","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2014","2014","g/cap/d","38.3","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2015","2015","g/cap/d","38.24","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2016","2016","g/cap/d","38.25","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2017","2017","g/cap/d","38.3","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/cap/d","38.48","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2019","2019","g/cap/d","38.59","E","Estimated value"
